,Name,Prep Time,Cook Time,Total Time,Ingredient,Number of Ingredient,Method,Number of cooking step
10,Best Ever Sloppy Joes Recipe,10,30,40,"['1 tablespoon extra virgin olive oil', '1/2 cup minced carrots (can sub chopped bell pepper)', '1 cup finely chopped onion (about 1 medium onion)', '1/2 cup finely chopped celery', '2 cloves garlic, minced', '1/2 teaspoon salt', '1 1/4 pound ground beef', '1/2 cup ketchup', '2 cups tomato sauce (or 1 15-ounce can whole tomatoes, pur\\xc3\\xa9ed)', '1 tablespoon Worcestershire sauce', '1 tablespoon red wine vinegar', '1 1/2 tablespoons brown sugar', 'Pinch ground cloves', '1/2 teaspoon dried thyme', 'Pinch cayenne pepper', '2 turns of freshly ground black pepper', '4 hamburger buns']",17,"['1 Saut\\xc3\\xa9 the carrots, onions, celery, and garlic: Heat olive oil in a large saut\\xc3\\xa9 pan on medium high heat. Add the minced carrots and saut\\xc3\\xa9 for 5 minutes. (If you are using bell pepper instead of carrots, add those at the same time as the onions.)', 'Add the chopped onion and celery. Cook, stirring occasionally until onions are translucent, about 5 more minutes.', 'Add the minced garlic and cook for 30 more seconds. Remove from heat. Remove vegetables from the pan to a medium sized bowl, set aside.', '2 Brown the ground beef: Using the same pan (or you can cook the meat at the same time as the vegetables in a separate pan to save time), crumble the ground beef into the pan. If you are using extra lean beef, you may need to add a tablespoon of olive oil to the pan. Sprinkle the meat with salt.', 'Do not stir the ground beef, just let it cook until it is well browned on one side. Then flip the pieces over and brown the second side.', ""If you're cooking in batches, use a slotted spoon to remove the ground beef from the pan (can add to the set-aside vegetables) and repeat with the rest of the ground beef."", 'When the meat is done cooking, strain off all but 1 tablespoon of any fat left in the pan.', '3 Make the sloppy joe mix: Return the cooked ground beef and vegetables to the pan. Use a wooden spoon to break up any chunks of ground beef into smaller bits.', 'Add the ketchup, tomato sauce, Worcestershire sauce, vinegar, and brown sugar to the pan. Stir to mix well. Add ground cloves, thyme, and cayenne pepper.', 'Lower the heat to medium low and let simmer for 10 minutes. Adjust seasonings to taste.', '4 Serve the sloppy joes: Serve immediately, or refrigerate to make ahead and reheat to serve. Serve with toasted hamburger buns.']",11
11,Poached Salmon Recipe,5,10,15,"['1 to 1\\xc2\\xbd pounds salmon fillets, pin bones removed', 'Salt', '\\xc2\\xbd cup dry white wine (a good Sauvignon Blanc)', '\\xc2\\xbd cup water', '1 shallot, peeled and thinly sliced or a few thin slices of onion', 'Several sprigs of fresh dill or sprinkle of dried dill', 'A sprig of fresh parsley', 'Freshly ground black pepper', 'A few slices of fresh lemon to serve']",9,"['1 Sprinkle the salmon fillets with a little salt. Put the wine, water, dill, parsley and shallots or onions in a saut\\xc3\\xa9 pan, and bring to a simmer on medium heat.', '2 Place salmon fillets, skin-side down on the pan. Cover.', '3 Cook 5 to 10 minutes, depending on the thickness of the fillet, or to desired done-ness. Do not overcook.', 'Serve sprinkled with freshly ground black pepper and a slice or two of lemon.']",4
12,Beef Brisket Pot Roast Recipe,35,255,290,"['4 to 5 pound (about 2 kg) beef brisket, flat cut or point cut', 'Salt', '1 to 2 tablespoons extra virgin olive oil', '3 large onions, sliced', '5 to 6 garlic cloves, minced', '1 sprig thyme', '1 sprig rosemary', '3 to 4 bay leaves', '2 cups beef stock', '2 to 3 large carrots, peeled and cut into 1 1/2-inch pieces', '1 tablespoon mustard (optional)']",11,"['1 Prepare the brisket: On one side of the brisket there should be a layer of fat, which you want. If there are any large chunks of fat, cut them off and discard them. Large pieces of fat will not be able to render out completely.', 'Using a sharp knife, score the fat in parallel lines, about 3/4-inch apart. Slice through the fat, not the beef. Repeat in the opposite direction to make a cross-hatch pattern.', 'Salt the brisket well and let it sit at room temperature for 30 minutes.', ""2 Sear the brisket: You\\'ll need an ovenproof, thick-bottomed pot with a cover, or Dutch oven, that is just wide enough to hold the brisket roast with a little room for the onions."", 'Pat the brisket dry and place it, fatty side down, into the pot and place it on medium high heat. Cook for 5 to 8 minutes, lightly sizzling, until the fat side is nicely browned. (If the roast seems to be cooking too fast, turn the heat down to medium. You want a steady sizzle, not a raging sear.)', 'Turn the brisket over and cook for a few minutes more to brown the other side.', '3 Saut\\xc3\\xa9 the onions and garlic: When the brisket has browned, remove it from the pot and set aside. There should be a couple tablespoons of fat rendered in the pot. If not, add some olive oil.', 'Add the chopped onions and increase the heat to high. Sprinkle a little salt on the onions. Saut\\xc3\\xa9, stirring often, until the onions are lightly browned, 5 to 8 minutes. Stir in the garlic and cook 1 to 2 more minutes.', '4 Simmer the brisket and roast it: Preheat the oven to 300\\xc2\\xb0F (150\\xc2\\xb0C). Use kitchen twine to tie together the bay leaves, rosemary and thyme.', 'Move the onions and garlic to the sides of the pot and nestle the brisket inside. Add the beef stock and the tied-up herbs. Bring the stock to a boil on the stovetop. Cover the pot, then place in the 300\\xc2\\xb0F (150\\xc2\\xb0C) oven. Cook for 3 hours. Carefully flip the brisket every hour so it cooks evenly.', '5 Add carrots, continue to cook: After 3 hours, add the carrots. Cover the pot and cook for 1 hour more, or until the carrots are cooked through and the brisket is falling-apart tender.', '6 Remove brisket: When the brisket is falling-apart tender, take the pot out of the oven and remove the brisket to a cutting board. Cover it with foil. Pull out and discard the herbs.', '7 Make sauce (optional): At this point you have two options. You can serve as is, or you can make a sauce with the drippings and some of the onions. If you serve as is, skip this step.', 'To make a sauce, remove the carrots and half of the onions, set aside and cover them with foil. Pour the ingredients that are remaining into a blender, and pur\\xc3\\xa9e until smooth. If you want, add 1 tablespoon of mustard to the mix. Put into a small pot and keep warm.', '8 Slice and serve: Notice the lines of the muscle fibers of the roast. This is the ""grain"" of the meat. Slice the meat perpendicular to these lines, or across the grain (cutting this way further tenderizes the meat), in 1/4-inch to 1/2-inch slices. (A sturdy bread knife works great for slicing roasts.)', 'Serve with the onions, carrots and gravy. Serve with mashed, roasted or boiled potatoes, egg noodles, or polenta.']",16
13,Sweet and Sour Chicken Recipe,15,15,30,"['1 pound of boneless and skinless chicken thighs or breasts, cut into 1"" chunks', '1 egg white', '1/2 teaspoon kosher salt (1/4 teaspoon table salt)', '2 teaspoons cornstarch', '1 10-ounce can pineapple chunks (reserve juice)', '1/4 cup juice from the canned pineapple', '1/4 cup white vinegar', '1/4 cup ketchup', '1/2 teaspoon kosher salt (1/4 teaspoon table salt)', '2-3 tablespoons brown sugar', '1 tablespoon + 1 teaspoon cooking oil', '1 red bell pepper, cut into 1 inch chunks', '1 yellow bell pepper, cut into 1 inch chunks', '1 teaspoon grated fresh ginger']",14,"['1 Coat chicken with egg white, salt, and cornstarch: In a bowl, combine the chicken with the egg white, salt and cornstarch. Stir to coat the chicken evenly. Let sit for 15 minutes at room temperature or up to overnight in the refrigerator.', '2 Make sweet sour sauce: Whisk together the pineapple juice, vinegar, ketchup, salt, and brown sugar.', ""3 Stir-fry chicken: Heat a large frying pan or wok over high heat until a bead of water instantly sizzles and evaporates. Pour in the 1 tablespoon of cooking oil and swirl to coat. It\\'s important that the pan is very hot."", 'Add the chicken and spread the chicken out in one layer. Let the chicken fry, untouched for 1 minute, until the bottoms are browned.', 'Flip and fry the other side the same for 1 minute. The chicken should still be pinkish in the middle. Dish out the chicken onto a clean plate, leaving as much oil in the pan as possible.', '4 Stir fry bell pepper and ginger: Turn the heat to medium and add the remaining 1 teaspoon of cooking oil. Let the oil heat up and then add the bell pepper chunks and ginger. Fry for 1 minute.', '5 Add pineapple, sweet sour sauce, let simmer, add chicken: Add the pineapple chunks and the sweet and sour sauce. Turn the heat to high and when the sauce is simmering, add the chicken pieces back in.', ""Let simmer for 1-2 minutes, until the chicken is cooked through. Timing depends on how thick you\\'ve cut your chicken. The best way to tell if the chicken is done is to take a piece out and cut into it. If it\\'s pink, add another minute to the cooking."", 'Taste the sauce and add more brown sugar if you\\xe2\\x80\\x99d like.']",9
14,Vegan Stuffed Squash with Brown Rice and Mushrooms Recipe,20,60,80,"['For the squash:', '4 small winter squash (about 1 1/2 pounds each), like kabocha, acorn squash, or pie pumpkins', '1/2 tablespoon olive oil', '1/4 teaspoon salt', '1/4 teaspoon pepper', 'For the filling:', '4 tablespoons olive oil, divided', '2 cups brown rice', '4 cups low-sodium vegetable broth or water', '1 cup diced carrot', '1 cup diced shallots', '1 cup diced celery', '1 1/4 pounds mushrooms, diced (I used a mix of creminis and wild mushrooms),', '3 cloves garlic, minced', '1/2 cup white wine', 'Pinch cinnamon', '1 cup chopped mixed herbs (parsley, chives, and chervil work beautifully here)']",17,"['1 Heat the oven to 400F and prepare the squash. Cut the squash in half and scrape out the seeds. Cut a small sliver from the bottom of each squash half to create a stable surface for the ""bowl."" Rub the squash halves inside and out with olive oil, then sprinkle generously with salt and pepper.', '2 Roast the squash: Roast the squash halves cut-side down for 30 minutes, then flip them over and roast cut-side up (like a bowl) for another 15 minutes. When done, the squash should be easily pierced with a fork and toasted golden-brown on the surface. (About 45 minutes total; if the squash finishes roasting before the filling is ready, turn the oven heat to its lowest temperature and keep them warm until needed.)', '3 While the squash roasts, begin preparing the rice stuffing: In a large pot over medium heat, toast the rice with 1 tablespoon of olive oil until the rice smells fragrant and nutty, 3 to 5 minutes. Stir frequently to avoid burning.', '4 Cook the rice: Pour the vegetable broth or water over the rice and give it a quick stir. Bring to a boil over high heat. Once the water reaches boiling, turn down heat to low, cover the pot, and cook for 25 to 30 minutes until the rice is tender. If the rice isn\\xe2\\x80\\x99t done, continue checking every five minutes.', '5 Cook the carrots, shallots, and celery: Warm 1 tablespoon of olive oil in a 12-inch skillet over medium heat. Saut\\xc3\\xa9 the carrot, shallot, and celery until the shallots become translucent, about 5 minutes. Transfer the veggies to a large bowl, and set aside.', '6 Cook the mushrooms in batches: In the same 12-inch skillet, add 1 tablespoon of olive oil and turn the heat to medium-high. Add a third of the mushrooms \\xe2\\x80\\x93 do not to overcrowd the pan. Sprinkle 1/8 teaspoon salt and a little pepper over the mushrooms, but do not stir.', 'Let the mushrooms cook without stirring for 2 to 3 minutes, until a caramelized crust forms on the bottom of the mushrooms. (Lift one up to check!) Once you see a brown crust, stir the mushrooms together. Continue cooking, stirring often, until the mushrooms have released all their liquid and look evenly browned on all sides.', 'Repeat with the remaining mushrooms, adding more oil to the pan as needed.', '7 Finish the vegetables: When all the mushrooms are cooked, return the cooked mushrooms, carrots, shallots, and celery to the pan over medium-high heat. Stir in the garlic and cook until fragrant, 30 seconds. Add the white wine and scrape any glazed bits from the bottom of the pan as the wine simmers. Cook for another 2 to 3 minutes, until most of the wine has evaporated. Remove from heat.', '(If the vegetables and rice are ready before the roasted squash, cover the pans to keep warm until needed. If necessary, re-warm briefly on the stovetop or the microwave before continuing with the recipe.)', '8 Set 6 of the roasted squash halves on plates for serving; scoop the flesh from the remaining 2 squash halves. Transfer the flesh to a food processor. Add the cinnamon and puree until very smooth.', '9 Finish the squash filling: In a large bowl, combine the mushrooms, vegetables, cooked rice, and squash puree and mix until well-combined. Taste and add more salt, pepper, or cinnamon if you like. Finally, stir in fresh herbs, reserving some herbs for sprinkling over top.', '10 Stuff the squashes and serve: Divide the filling equally between all the squash halves, mounding the filling slightly. Sprinkle with chopped herbs and serve immediately while piping hot.']",13
15,Roasted Winter Squash with Cilantro Chimichurri Recipe,10,30,40,"['For the squash:', '3 pounds acorn or delicata squash', '1 tablespoon olive oil', '1/4 teaspoon salt', 'Ground black pepper', 'For the cilantro chimichurri:', '1/2 cup olive oil', '1/2 cup finely chopped cilantro', '1/2 cup finely chopped parsley', '1 tablespoon finely chopped oregano leaves', '1 1/2 teaspoons urfa biber, or regular chili flakes', '1/4 teaspoon salt', '4 garlic cloves, minced', '1/4 cup red wine vinegar']",14,"['1 Preheat the oven to 375F. Line a baking sheet with aluminum foil, a silicon baking mat, or parchment paper.', '2 Prepare the squash: Cut the squash in half lengthwise. Scoop out and discard the strings and seeds (save and roast the seeds, if you like). Cut the squash into 1-inch slices.', 'Toss the squash with a 1 tablespoon of olive oil, 1/4 teaspoon or so of salt, and ground black pepper. Place on the prepared baking sheet.', '3 Roast the squash for 30 minutes or until easily pierced with a fork.', '4 While the squash is cooking prepare the chimichurri. In a medium bowl, stir together the olive oil, cilantro, parsley, oregano leaves, chili flakes, garlic, red wine vinegar and 1/4 teaspoon salt. Taste and add more salt if needed.', '5 Serve: Transfer the roasted squash to a serving platter or individual plates, top with a generous amount of chimichurri, and enjoy.']",6
16,Stuffed Squash with Turkey and Apples Recipe,10,45,55,"['1 medium (about 1 1/4 to 1 1/2 pound) acorn squash, halved lengthwise and seeded', '2 tablespoons plus 1 teaspoon olive oil', '1 teaspoon salt, divided', '1/8 teaspoon ground black pepper', '1/2 cup uncooked wild rice', '6 ounces ground turkey or ground breakfast sausage', '1 small shallot, finely chopped', '1 stalk celery, finely chopped', '1/2 large apple (Honeycrisp, Jonagold, or Braeburn), unpeeled, cored, and cut into small dice', '1 tablespoon chopped fresh sage leaves', '1 tablespoon chopped fresh rosemary', '2 tablespoons dried cranberries', '1 tablespoon fine, dry breadcrumbs']",13,"['1 Preheat the oven: Preheat the oven to 425\\xc2\\xbaF. Line a baking sheet with parchment.', '2 Roast the squash: Brush the squash with 1 tablespoon of the oil and sprinkle with 1/4 teaspoon salt and a pinch of pepper. With the cut sides down, place the squash on the baking sheet. Bake for 35 to 40 minutes, or until tender when pierced with the tip of a paring knife. Remove and cool briefly.', '3 While the squash roasts, cook the rice: In a small saucepan, bring 2 cups water and 1/4 teaspoon salt to a boil. Add the rice and adjust the heat to a simmer. Set a lid on top, slightly askew, and cook for 40 to 45 minutes, or until the rice \\xe2\\x80\\x9cgrains\\xe2\\x80\\x9d are tender (some grains may begin to separate or burst). Drain in a sieve or fine-mesh colander.', '4 Cook the turkey and vegetables: In a medium skillet over medium-high heat, add 1 tablespoon of the oil. Add the turkey and break it up into tablespoon-sized clumps using a stiff spatula or wooden spoon. Cook for 5 to 7 minutes, stirring often to further break up the meat, until it begins to brown.', 'Add the shallot, celery, apple, sage, rosemary, cranberries, 1/2 teaspoon salt, and a pinch of pepper. Cook and stir for another 3 to 4 minutes, or until the vegetables soften.', 'If the pan seems dry, add up to 1/4 cup water, 1 tablespoon at a time, and stir to scrape up any brown bits on the bottom of the skillet until the water evaporates. Stir in the cooked rice. Taste and add more salt and pepper, if you like.', '5 Stuff the squash: Turn the squash on the baking sheet so the cut side is up. Divide the filling between the halves.', '6 Bake the squash: In a small bowl, mix the breadcrumbs with 1 teaspoon of oil. Sprinkle on top of the squash halves.', 'Bake for 10 minutes, or until hot all the way through and the breadcrumbs are browned.']",9
17,Grilled Moroccan Chicken Recipe,5,135,140,"['1/2 cup plain yogurt', '1 Tbsp lemon juice', '1/2 cup chopped fresh cilantro', '1 tablespoon extra virgin olive oil', '2 cloves garlic, minced', '1 1/2 teaspoons ground cumin', '1 teaspoon paprika', '1/2 teaspoon ground cinnamon', '1/2 teaspoon salt', '1/2 teaspoon freshly ground black pepper', '1 1/2 pounds skinless, boneless chicken breasts']",11,"['1 Marinate the chicken: Mix the marinade ingredients (yogurt, lemon juice, cilantro, olive oil, garlic, cumin, paprika, cinnamon, salt, and pepper) together in a medium sized bowl.', 'Add the chicken pieces to the bowl and thoroughly coat with the marinade.', 'Cover with plastic wrap and chill in the refrigerator from 2 hours to overnight.', '2 Grill the chicken: Heat your grill on high heat if you are using a gas grill, or prepare coals for direct heat if you are using charcoal. Allow for one side of the grill to be the ""cool"" side. If you do not have a grill you can use a cast-iron grill pan on your stove.', 'Grill the chicken breasts over direct high heat a couple of minutes on one side. Then turn them over and move them to the cool side of the grill. Cover and cook for a few minutes more, until the chicken is cooked through.', '(The easiest way to test for doneness is with your fingertips. See The Finger Test to Check the Doneness of Meat. Or use a meat thermometer, remove the meat from the grill when the internal temperature of the chicken breast reaches 165\\xc2\\xb0F.)', 'Take care not to overcook, as chicken breasts can easily dry out.']",7
18,Chicken Peanut Curry Recipe,15,45,60,"['3 pounds boneless, skinless chicken pieces (or you can use bone-in for added flavor), cut into 1 1/2 inch wide chunks or strips', '2/3 cup all purpose flour', '4 tablespoons yellow curry powder', '1 1/2 teaspoons sea salt', '1/2 teaspoon freshly ground peppercorns', '1/3 cup extra virgin olive oil', '2 tablespoons fresh ginger, minced', '2 tablespoons garlic, minced', '2 serrano chili peppers, seeded, de-veined, minced', '4 cups chicken broth', '2/3 cup peanut butter (if using freshly ground peanuts, add 2 teaspoons of sugar)', '1 teaspoon ground coriander seeds', '8 green onions, chopped, greens included', '1/3 cup each finely chopped mint and cilantro', '3 tablespoons lime juice']",15,"['1 Coat chicken pieces in seasoned flour: Rinse chicken and pat dry. In a large bowl, combine the flour, curry powder, salt and pepper. Toss the chicken pieces to coat.', '2 Saut\\xc3\\xa9 chicken pieces: Heat oil in a large, heavy pot or Dutch oven on medium high heat. Add chicken pieces in batches, being careful to not crowd the pan. Cook 2-4 minutes per side, or until the coating sets and browns a little. Remove the chicken from the pot as it cooks and set aside in a bowl.', '3 Build curry base with ginger, garlic, chili, broth, peanut butter: When the chicken has all been browned, add the ginger, garlic, chili pepper and 1/2 cup of the chicken broth to the saucepan. Cook for a minute or two, scraping the pan with a spatula and stirring to combine everything well.', 'Whisk in the peanut butter, and the remaining 3 1/2 cups of broth slowly, stirring continuously to maintain an even texture.', '4 Add chicken to pot, simmer: Return the chicken to the pot and simmer for 15-25 minutes.', '5 Serve with coriander and garnishes: Right before serving, add the ground coriander, cilantro, mint and green onions. Add salt and lime juice to taste. Serve with rice.']",6
19,Skillet Chermoula Chicken Recipe,10,30,40,"['6 bone-in, skin-on chicken thighs (about 2 pounds), trimmed of excess fat', '1 teaspoon salt', '1 tablespoon extra virgin olive oil', 'Chermoula Sauce', '1 1/2 teaspoons whole cumin seed (or 1 teaspoon ground)', '1/2 teaspoon whole coriander seed (or 1/4 teaspoon ground)', '4 cloves garlic', '1 1/2 cups medium packed parsley leaves', '1 1/2 cups medium packed cilantro leaves and tender stems', '1/2 teaspoon salt', '1/2 teaspoon paprika', '1 teaspoon lemon zest', '1/2 cup extra virgin olive oil', '2 tablespoons lemon juice']",14,"['1 Salt chicken thighs on both sides and let rest while you prepare the sauce.', '2 If using whole cumin and coriander seeds, lightly toast the whole cumin and coriander in a small skillet on medium heat, until fragrant. Put into a mortar and pestle and grind until powdery.', '3 Make the chermoula sauce: Put 4 cloves garlic, parsley, cilantro, salt, cumin, coriander, paprika, and lemon zest in a food processor. Pulse several times. With the motor running, slowly add in 1/2 cup of olive oil, then the lemon juice. Process until you have a smooth paste. You should have almost a cup of chermoula sauce.', '4 Brown chicken thighs in skillet: Heat 1 Tbsp olive oil on medium high heat in a large cast iron pan and preheat oven to 350\\xc2\\xb0F.', 'Pat dry the chicken pieces and place them skin side down in the hot pan. Let them cook until deep golden brown, about 5 to 6 minutes.', 'Then turn them over and cook a few minutes more.', '5 Drain excess fat: Because you are working with skin-on thighs, you will likely render quite a bit of fat. Remove the chicken from the pan and pour off any excess fat. (Do not pour down the drain unless you want to clog your drain pipes.) Return the chicken to the pan.', '5 Spread chermoula on chicken, bake in oven: Spread most of the chermoula sauce on both sides of the chicken thighs, reserving 1/4 cup of the fresh sauce to add later.', 'With the chicken skin-side up, put the skillet in the 350\\xc2\\xb0F oven for 10 to 15 minutes, until the thighs are cooked through and the temperature near the bone is 165\\xc2\\xb0F when tested with a meat thermometer.', '6 Spoon remaining sauce over chicken: Stir the reserved fresh chermoula sauce in with the pan sauce. Spoon sauce over the chicken to serve.', 'Serve with couscous or with basmati rice for a gluten-free option.']",11
